Instructor,Sub,Crse,Day,Time
chattertonc,BUS,490,M,07:00 pm-08:15 pm
chattertonc,BUS,490,R,08:00 am-09:15 am
pakdilf,BUS,492, ,TBA
grandhis,BUS,492, ,TBA
donohuek,BIS,205,TR,08:00 am-09:15 am
reays,BIS,205,MWF,08:00 am-08:50 am
reays,BIS,205,MWF,09:00 am-09:50 am
kunenen,BIS,205,TR,09:30 am-10:45 am
dexterr,BIS,205,W,07:00 pm-09:45 pm
albinie,BIS,362,M,04:00 pm-06:45 pm
donohuek,BIS,365,TR,09:30 am-10:45 am
alkhamaieshs,BIS,370,TR,05:30 pm-06:45 pm
alkhamaieshs,BIS,370,TR,07:00 pm-08:15 pm
citursa,BIS,373,MF,02:00 pm-03:15 pm
citursa,BIS,379,M,04:00 pm-06:45 pm
schallerj,BIS,442,W,04:00 pm-06:45 pm
johnsond,BIS,447,T,07:00 pm-09:45 pm
citursa,BIS,447,TR,11:00 am-12:15 pm
kunenen,BIS,449,TR,12:30 pm-01:45 pm
kunenen,BIS,449,TR,02:00 pm-03:15 pm
citursa,BIS,461,MW,07:00 pm-08:15 pm
citursa,BIS,480, ,TBA
couture-palmerinop,CAS,201, ,TBA
couture-palmerinop,CAS,222, ,TBA
hek,CHE,211,MWF,09:00 am-09:50 am
hek,CHE,211,MWF,10:00 am-10:50 am
